	ID	Team	Dataset #	Toolbox used	Quality/Pruning: Method	Quality/Pruning: Default Parameters?	Quality/Pruning: Parameters Used	Data quality/pruning: Default	Quality/Pruning: Method: Notes	Quality/Pruning: Total #CH pruned	Quality/Pruning: Total #Sbj pruned	Motion Artifact Method	Motion Artifact Correction: Default Parameters?	Motion Artifact Correction: Parameters Used	Motion Artifact: Notes	Motion Artifact Rejection	"Motion Artifact Rejection: Total Rejected (#Trials; #Subjects) copy"	Resample/Downsample (Hz)	Filtering	"Filtering Cutoff (Hz_cutoff; type; order)"	"Filtering (type; order)"	Did you use Default Parameters for your Filters?	Filtered Signal	Removal of the Global Signals during Preprocessing	MBLL DPF/PPF	Non-GLM: Method	Non-GLM: Notes	GLM: Method	GLM AR Order	GLM: Method: Notes	GLM: HRF Regressor	GLM: HRF Regressor: Notes	GLM: Other Regressors	GLM: Other Regressors: Notes	Stat Analysis: Software	Stat Analysis: Method	Stat Analysis: On Signal Type	Stat Analysis: Signal Space	Channel Selection Method	Channel Selection	ROI Method	Stat Analysis: Metric	Test for Normality	Outlier Removal	"Stat Analysis: Sample Size after rejections (#Channels; #Subjects)"	Stat Analysis: Threshold (p< X)	Multiple Comparisons Correction	Other Comments	Block Averaging: Window time range	Block Averaging: Modifiers	How confident are you with your fNIRS signal analysis skills	Contributors	Analysis Confidence	Results confidence	Other	Other copy	Other copy copy	Other copy copy copy	Block Averaging: Detrending: Other	Other Regressor	Other Stats Software	Other Stats Method	Other Stats Metric	Did you use Default Parameters for AR model order?
Study 2	26	OwenLab	2	AtlasViewer,Custom: Matlab,HOMER2,HOMER3	PSP (Cardiac Power Spectrum Peak),SNR Threshold		"SCI_thresh = 8; "		"Used enPruneChannel function from Homer; The box above didn't accept text so see here for results: Subjects = 0; Channels = 65; PSP = Was visually inspected for short channels"	65	0	Hybrid spline wavelet		"IQR_wavelet = 1.5; order_spline = [3 4.2]"	Spline_Order = Varied between participants and session (3-4.2). The spline order was chosen via visual inspection and changed within session and participant. 				LowPass	f_lp = 0.5	"filter_type = butter; filter_order = 3"		Hemoglobin	Other	DPF= [6 6]	GLM		AR-IRLS (Autoregressive model based pre-whitening filter and robust regression)	The order was derived for each channel. The order with the lowest BIC was the one used for that channel. 		Gamma		PCA of the Short Channels,Other		Matlab	Paired t-Test,One-Sample t-Test	HbO and HbR	Channel,ROI			ROI was determined by the anatomical locations determined via AtlasViewer. 	beta values provided by GLM	N/A			0.05	Benjamini-Hochberg					"Matthew Kolisnyk = Data wrangling, data preprocessing, data analysis, data interpretation, and submission of the results for both studies
Androu Abdalmalak = Data wrangling, data preprocessing, data analysis, data interpretation, and submission of the results for both studies. 

Matthew and Androu equally contributed to this work. "	4	4				Hemoglobin data was detrended using the MATLAB function detrend. 		Only good short channels (those that showed a cardiac frequency in the power spectrum) were included as regressors in the GLM. Prior to fitting the GLM,PCA was performed on the good quality short channels. The GLM incorporated pre-whitening to remove serially correlated errors (AI-IRLS).				
Study 1	27	photon	1	Custom: Python,MNE,Nilearn,Other	Other				"Exlcuded: Subjects = 0; Channels = 56"	56	0	TDDR	checked						LowPass,HighPass	f_hp = 0.01, f_lp = 0.7 			Hemoglobin	No	PPF = [0.1 0.1]	GLM		Other	21		Glover		Short Channels		RStudio	Linear Mixed Effects	HbO and HbR	ROI			channel specificity was precomputed for channels with a distance between 15 and 45mm based on the Juelich atlas and the channel mapping of the fOLD toolbox. Only channels with a specificity greater than 30 were considered as relevant and included in an ROI. 	beta values provided by GLM	N/A	outliers were defined as >3SD and < -3SD fom the mean and removed from subsequent analysis		0.05	N/A	Normality was assessed visually via a histogramm				"Christian Gerloff: Preprocessing, Analysis, Interpretation
Vanessa Reindl: Analysis, Interpretation"	5	5	fOLD	machine learning model (manuscript in preparation)								checked
Study 2	27	photon	2	Custom: Python,MNE,Nilearn,Other	Other				"Excluded: Subjects = 0; Channels = 354"	354	0	TDDR	checked						LowPass,HighPass	f_hp = 0.01, f_lp = 0.7 			Hemoglobin	No	PPF = [0.1 0.1]	GLM		Other	36		Glover	stimulus duration varies per session between 2s (stim_dur=2) and 3s (stim_dur=3)	Short Channels		RStudio,Python	Paired t-Test,Other	HbO and HbR,Other	ROI			Channel specificity was precomputed for channels with a distance between 15 and 45mm based on the Juelich atlas and the channel mapping of the fOLD toolbox. Only channels with a specificity greater than 30 were considered as relevant and included in an ROI.	beta values provided by GLM	N/A	For the exploratory analysis, outliers were defined as >3SD and < -3SD fom the mean and removed from subsequent analysis.		0.05	N/A	For exploratory analysis, no multiple comparison correction was applied because none of the t-tests were significant. Otherwise, we would have applied FDR correction.				"Christian Gerloff: Preprocessing, Analysis, Interpretation
Vanessa Reindl: Analysis, Interpretation"	4	3	fOLD	machine learning model (manuscript in preparation)						(Wald) t-statistic for parameter estimate	For individual subject results, we derived a combined estimate to test across chromophores. To this end, Hbr response estimates were inverted by -1 and combined with hbo response estimates to perform a combined significance test against zero. Specifically, a weighted average of response estimates from each channel and their standard deviation is used to calculate the p-value and t-value for each ROI. The t-value is calculated by dividing the weighted average of response estimates by the weighted average of the standard deviation. The degrees of freedom are then used to calculate the p-value using the cumulative distribution function of the t-distribution. 	checked
Study 1	28	Plainnirs	1	NIRSLab,NIRS-SPM,HOMER3	SNR Threshold		" mlActAuto = hmrR_PruneChannels(Data.data, Data.probe, [], [], [0, 1e10], 2, [0.0, 45.0]);"	checked			1	CBSI,Spline SG	checked		We first performed spline SG on OD data, bandpass filtered data between 0.01-0.5Hz and performed CBSI afterwards.				LowPass,HighPass	"f_hp = 0.01; f_lp = 0.5"		checked	Hemoglobin	Other	N/A	Block Averaging										Bootstrap Estimation	HbO only	Channel			We utilized NIRS-SPM toolbox for channel coregistration	signal amplitude (windowed)	N/A			0.05		"1) Raw light intensity data was first examined visually. 
2) Then, channels with poor signal quality were determined with the coefficient of variation (CV) method (Piper et al., 2014; Pollonini et al., 2016; Hocke et al. 2018; Zimeo et al.2018). CV was computed as a percentage via CV (%) = 100 × standard deviation (data)/mean (data) where “data” refers to channel specific raw optical signals at 760 nm or 850 nm.  Channels with raw light intensity signals above a CV  of 7.5%  were considered to be heavily contaminated with unphysiological noise and will be excluded from further processing (Hocke et al., 2018; Zimeo et al.,2018; Mutlu et al., 2020). Subjects whose fNIRS data contained more than 5 low-signal quality channels were excluded from further analysis. Only Subject 2 was excluded based on this criteria.
3) For the remaining subjects, channels with raw light intensity signals were removed from the analysis if SNR was less than 2 for any wavelength data by using the hmrR_PruneChannels function (SNRthresh = 2). 
4) Data segments with motion artifacts were detected per each channel with h hmrR_MotionArtifactByChannel function with the following parameters: tMotion = 0.5, tMask = 1, STDEVthresh = 5, and AMPthresh = 3 (Huppert, 2009). The raw intensity data were converted into optical density (OD) data with the hmrR_Intensity2OD function. Spikes and drifts in channel OD data were initially corrected with hmrR_MotionCorrectSplineSG function with the following parameters: p: 0.99 and FrameSize_sec: 10.

5) Motion corrected OD data were converted to HB data with the hmrR_OD2Conc function with DPF set to 1 for each wavelength. 
6) HBO and HBR data were bandpassfiltered with cut-off frequencies 0.01-0.5 Hz using a Butterworth filter embedded in hmrR_BandpassFilt function. 

7) Further traces of motion artifacts were corrected with the Correlation based signal improvement method (CBSI) by use of the hmrR_MotionCorrectCbsi function. 

8) From each long separation HB and HBO channel time series, data of the short channel with highest correlation was linearly regressed out utilizing a GLM procedure.

9) Each block data was truncated with a prestimulus baseline of 3 seconds and poststimulus interval of 10 seconds. A linear trend was removed from each truncated block signal with the detrend function of MATLAB. 

10) Truncated block time series were averaged across all blocks for each channel, stimulus and subject.

Channel Coregistration

The sensitivity of the probe for detecting brain hemodynamics was calculated with the method explained in Aasted et al. (2015). The channel locations were coregistered onto a standard brain in MNI space using the NIRS_SPM toolbox (Singh et al., 2005; Jang et al., 2009; Ye et al., 2009).  As the last step, the percentage of Brodmann areas covered by each channel were computed with the spatial registration toolbox of NIRS_SPM according to the Rorden’s brain atlas (Rorden and Brett, 2001) and Talairach Atlases. Channel 8 corresponded to left Heschl’s gyrus and Channel 32 corresponded to right Heschl s Gyrus with highest percentage of overlap. Similarly Channels 1,3,4, 6 corresponded to LIFG and Channels 16,17,19,20,21,22,23,24 corresponded to Occipital Cortex.

Computation of the Neurovascular Coupling Parameter 
10) We took a grand average of all block time series across all subjects, channels and stimuli for each experimental task and determined a time window after the stimulus onset that involved the peak amplitude of the hemodynamic response. For auditory data, the hemodynamic signals had an average peak response around 5.7 seconds with a standard deviation of 0.6 seconds.  Hence, we took the mean signal between a time window of 5 and 8 seconds from stimulus onset for block averaged signals of each channel and stimulus type as the signal of interest. We computed a Cohen’s D parameter for signal amplitude at this time window with the following formula:
 CD=(mean(activation period)-mean (baseline period))/Standard Deviation(baseline period).
Where activation period refers to time interval from 5 to 8 seconds and baseline period refers to time interval for prestimulus baseline of 3 seconds. The difference in mean amplitude of activation and baseline was normalized by scaling with the standard deviation of baseline amplitude.
Hypothesis Testing
Each hypothesis was tested with a bootstrapping methodology that involved permutation testing procedures.
For each channel and subject, we computed a Cohen’s D value for each trial of silent, noise, and speech conditions independently, resulting in 16 subject x 25 channel x 3 conditions. Then, hypotheses 1-6 were tested via non-parametric bootstrap tests by generating pseudo-conditions via bootstrapping.
As an example, for the first hyopthesis, we obtained two 16x1 vectors consisting of Cohen’s D values for speech and silent conditions. Silent condition was used as a baseline for this hypothesis. Then, the observed difference between these two conditions were computed by first taking their average, followed by subtracting the average of silent from the average of the speech condition. Then, we pooled these two vectors, resampled 1000 times, resulting in different pseudo-silent and pseudo-speech conditions in each time. For each resampling, the difference between the mean value of two vectors were computed. As a result, we obtained 1000 average differences. Then, we calculated the significance of the observed difference via the following formula:
p=(? # (CD?_bs>? CD?_obs))/nboot
where CDbs  denotes Cohen’s D value difference between pseudocomnditions for each bootstrapping, CDobs denotes the observed difference between the means of two conditions , # (CDbs > CDobs) denotes the number of bootstrapped Cohen’s D difference values that are greater than the observed average difference between silent and speech trials, and nboot denotes the total number of bootstrapping (n=1000).
Hypotheses 2-6 had a very similar mathematical architecture and we will give a detailed explanation in our second report.

For hypthesis 7, we first computed the Cohen’s D parameter from the block averaged signals of each channel and subject that belonged to silent condition. (Please note that for each channel, the number of NVC parameter (i.e., Cohen’s D) in the silent data vector equals the number of included subjects for that channel. Subject 2 was completely excluded from the analysis.) 
We then resampled Cohen’s D parameter in each ROI channel 1000 times with replacement and calculated the average Cohen’s D parameter of each sampling, resulting in a distribution of average Cohen’s D values. 
Then, we computed the p-value of the bootstrap test by calculating the percentage of bootstrapped average Cohen’s D values greater than zero as in the following:
p=1-(? # (CD?_bs>0))/nboot	 			(2)
where # (CDbs > 0) denotes the number of bootstrapped average Cohen’s D is greater than zero, and nboot denotes the total number of bootstrapping (n=1000).

To sum up, the analysis pipeline can be summarized as follows

	Exclusion of Subjects with more than 5 bad quality channels (based on CV method with CV threshold set to 7.5 )
	Channel exclusion at the subject level with poor SNR criteria (hmrR_PruneChannels function (SNRthresh = 2). 
	Detection of temporal windows with motion artifacts by using hmrR_MotionArtifactByChannel function.
	Conversion of raw wavelength data to optical density data.
	Motion artifact correction with hmrR_MotionCorrectSplineSG
	Conversion of OD to HBX data.
	Bandpass filtering with high and low cut-off frequencies set to 0.01 and 0.5Hz (hmrR_BandpassFilt)
	Motion correction with CBSI method (hmrR_MotionCorrectCbsi function)
	Linear regression of short channel HBO/HBR time series with highest correlation from each long channel HBO/HBR time series.
	Truncation of each block with a prestimulus baseline of 3 seconds and poststimulus interval of 10 seconds.
	Removal of linear trends from each truncated block signal.
	Averaging  of blocks belonging to each stimulus type per each channel.
	Computation of the neurovascular coupling parameter.
	Hypothesis testing with a non-parametric bootstrapping approach using permutation tests.




"	[5 8]	Detrending		"Sinem Burcu Erdogan: Preprocessing, Neurovascular Coupling Parameter Estimation, Hypothesis Testing, Statistical Testing, Report Preparation
Gulnaz Yukselen: Preprocessing, Neurovascular Coupling Parameter Estimation, Hypothesis Testing, Statistical Testing, Channel Coregistration

Murat Can Mutlu: Preprocessing, Neurovascular Coupling Parameter Estimation, Hypothesis Testing, Statistical Testing, Channel Coregistration
"	4	4		"EnPrune Channels Function  mlActAuto = hmrR_PruneChannels(Data.data, Data.probe, [], [], [0, 1e10], 2, [0.0, 45.0]);"		We performed a linear regression of the closest short channel on HBX data after motion correction and bandpass filtering	Each block data was truncated with a prestimulus baseline of 3 seconds and poststimulus interval of 10 seconds. A linear trend was removed from each truncated block signal with the detrend function of MATLAB. 					
Study 2	28	Plainnirs	2	NIRSLab,NIRS-SPM,HOMER3	SNR Threshold		" mlActAuto = hmrR_PruneChannels(Data.data, Data.probe, [], [], [0, 1e10], 2, [0.0, 45.0]);"	checked			1	CBSI,Spline SG	checked		We first performed spline SG on OD data, bandpass filtered data between 0.01-0.5Hz and performed CBSI afterwards.				LowPass,HighPass	"f_hp = 0.01; f_lp = 0.5"		checked	Hemoglobin	Other	N/A	Block Averaging										Bootstrap Estimation	HbO only	Channel			We utilized NIRS-SPM toolbox for channel coregistration	signal amplitude (windowed)	N/A			0.05		"1) Raw light intensity data was first examined visually. 
2) Then, channels with poor signal quality were determined with the coefficient of variation (CV) method (Piper et al., 2014; Pollonini et al., 2016; Hocke et al. 2018; Zimeo et al.2018). CV was computed as a percentage via CV (%) = 100 × standard deviation (data)/mean (data) where “data” refers to channel specific raw optical signals at 760 nm or 850 nm.  Channels with raw light intensity signals above a CV  of 7.5%  were considered to be heavily contaminated with unphysiological noise and will be excluded from further processing (Hocke et al., 2018; Zimeo et al.,2018; Mutlu et al., 2020). Subjects whose fNIRS data contained more than 5 low-signal quality channels were excluded from further analysis. Only Subject 2 was excluded based on this criteria.
3) For the remaining subjects, channels with raw light intensity signals were removed from the analysis if SNR was less than 2 for any wavelength data by using the hmrR_PruneChannels function (SNRthresh = 2). 
4) Data segments with motion artifacts were detected per each channel with h hmrR_MotionArtifactByChannel function with the following parameters: tMotion = 0.5, tMask = 1, STDEVthresh = 5, and AMPthresh = 3 (Huppert, 2009). The raw intensity data were converted into optical density (OD) data with the hmrR_Intensity2OD function. Spikes and drifts in channel OD data were initially corrected with hmrR_MotionCorrectSplineSG function with the following parameters: p: 0.99 and FrameSize_sec: 10.

5) Motion corrected OD data were converted to HB data with the hmrR_OD2Conc function with DPF set to 1 for each wavelength. 
6) HBO and HBR data were bandpassfiltered with cut-off frequencies 0.01-0.5 Hz using a Butterworth filter embedded in hmrR_BandpassFilt function. 

7) Further traces of motion artifacts were corrected with the Correlation based signal improvement method (CBSI) by use of the hmrR_MotionCorrectCbsi function. 

8) From each long separation HB and HBO channel time series, data of the short channel with highest correlation was linearly regressed out utilizing a GLM procedure.

9) Each block data was truncated with a prestimulus baseline of 3 seconds and poststimulus interval of 10 seconds. A linear trend was removed from each truncated block signal with the detrend function of MATLAB. 

10) Truncated block time series were averaged across all blocks for each channel, stimulus and subject.

Channel Coregistration

The sensitivity of the probe for detecting brain hemodynamics was calculated with the method explained in Aasted et al. (2015). The channel locations were coregistered onto a standard brain in MNI space using the NIRS_SPM toolbox (Singh et al., 2005; Jang et al., 2009; Ye et al., 2009).  As the last step, the percentage of Brodmann areas covered by each channel were computed with the spatial registration toolbox of NIRS_SPM according to the Rorden’s brain atlas (Rorden and Brett, 2001) and Talairach Atlases. Channel 8 corresponded to left Heschl’s gyrus and Channel 32 corresponded to right Heschl s Gyrus with highest percentage of overlap. Similarly Channels 1,3,4, 6 corresponded to LIFG and Channels 16,17,19,20,21,22,23,24 corresponded to Occipital Cortex.

Computation of the Neurovascular Coupling Parameter 
10) We took a grand average of all block time series across all subjects, channels and stimuli for each experimental task and determined a time window after the stimulus onset that involved the peak amplitude of the hemodynamic response. For auditory data, the hemodynamic signals had an average peak response around 5.7 seconds with a standard deviation of 0.6 seconds.  Hence, we took the mean signal between a time window of 5 and 8 seconds from stimulus onset for block averaged signals of each channel and stimulus type as the signal of interest. We computed a Cohen’s D parameter for signal amplitude at this time window with the following formula:
 CD=(mean(activation period)-mean (baseline period))/Standard Deviation(baseline period).
Where activation period refers to time interval from 5 to 8 seconds and baseline period refers to time interval for prestimulus baseline of 3 seconds. The difference in mean amplitude of activation and baseline was normalized by scaling with the standard deviation of baseline amplitude.
Hypothesis Testing
Each hypothesis was tested with a bootstrapping methodology that involved permutation testing procedures.
For each channel and subject, we computed a Cohen’s D value for each trial of silent, noise, and speech conditions independently, resulting in 16 subject x 25 channel x 3 conditions. Then, hypotheses 1-6 were tested via non-parametric bootstrap tests by generating pseudo-conditions via bootstrapping.
As an example, for the first hyopthesis, we obtained two 16x1 vectors consisting of Cohen’s D values for speech and silent conditions. Silent condition was used as a baseline for this hypothesis. Then, the observed difference between these two conditions were computed by first taking their average, followed by subtracting the average of silent from the average of the speech condition. Then, we pooled these two vectors, resampled 1000 times, resulting in different pseudo-silent and pseudo-speech conditions in each time. For each resampling, the difference between the mean value of two vectors were computed. As a result, we obtained 1000 average differences. Then, we calculated the significance of the observed difference via the following formula:
p=(? # (CD?_bs>? CD?_obs))/nboot
where CDbs  denotes Cohen’s D value difference between pseudocomnditions for each bootstrapping, CDobs denotes the observed difference between the means of two conditions , # (CDbs > CDobs) denotes the number of bootstrapped Cohen’s D difference values that are greater than the observed average difference between silent and speech trials, and nboot denotes the total number of bootstrapping (n=1000).
Hypotheses 2-6 had a very similar mathematical architecture and we will give a detailed explanation in our second report.

For hypthesis 7, we first computed the Cohen’s D parameter from the block averaged signals of each channel and subject that belonged to silent condition. (Please note that for each channel, the number of NVC parameter (i.e., Cohen’s D) in the silent data vector equals the number of included subjects for that channel. Subject 2 was completely excluded from the analysis.) 
We then resampled Cohen’s D parameter in each ROI channel 1000 times with replacement and calculated the average Cohen’s D parameter of each sampling, resulting in a distribution of average Cohen’s D values. 
Then, we computed the p-value of the bootstrap test by calculating the percentage of bootstrapped average Cohen’s D values greater than zero as in the following:
p=1-(? # (CD?_bs>0))/nboot	 			(2)
where # (CDbs > 0) denotes the number of bootstrapped average Cohen’s D is greater than zero, and nboot denotes the total number of bootstrapping (n=1000).

To sum up, the analysis pipeline can be summarized as follows

	Exclusion of Subjects with more than 5 bad quality channels (based on CV method with CV threshold set to 7.5 )
	Channel exclusion at the subject level with poor SNR criteria (hmrR_PruneChannels function (SNRthresh = 2). 
	Detection of temporal windows with motion artifacts by using hmrR_MotionArtifactByChannel function.
	Conversion of raw wavelength data to optical density data.
	Motion artifact correction with hmrR_MotionCorrectSplineSG
	Conversion of OD to HBX data.
	Bandpass filtering with high and low cut-off frequencies set to 0.01 and 0.5Hz (hmrR_BandpassFilt)
	Motion correction with CBSI method (hmrR_MotionCorrectCbsi function)
	Linear regression of short channel HBO/HBR time series with highest correlation from each long channel HBO/HBR time series.
	Truncation of each block with a prestimulus baseline of 3 seconds and poststimulus interval of 10 seconds.
	Removal of linear trends from each truncated block signal.
	Averaging  of blocks belonging to each stimulus type per each channel.
	Computation of the neurovascular coupling parameter.
	Hypothesis testing with a non-parametric bootstrapping approach using permutation tests.




"	[5 8]	Detrending		"Sinem Burcu Erdogan: Preprocessing, Neurovascular Coupling Parameter Estimation, Hypothesis Testing, Statistical Testing, Report Preparation
Gulnaz Yukselen: Preprocessing, Neurovascular Coupling Parameter Estimation, Hypothesis Testing, Statistical Testing, Channel Coregistration

Murat Can Mutlu: Preprocessing, Neurovascular Coupling Parameter Estimation, Hypothesis Testing, Statistical Testing, Channel Coregistration
"	4	4		"EnPrune Channels Function  mlActAuto = hmrR_PruneChannels(Data.data, Data.probe, [], [], [0, 1e10], 2, [0.0, 45.0]);"		We performed a linear regression of the closest short channel on HBX data after motion correction and bandpass filtering	Each block data was truncated with a prestimulus baseline of 3 seconds and poststimulus interval of 10 seconds. A linear trend was removed from each truncated block signal with the detrend function of MATLAB. 					
Study 1	29	Reviewer 2	1	AnalyzIR,AtlasViewer,Custom: Matlab,QT NIRS	PSP (Cardiac Power Spectrum Peak),SCI (Scalp-Coupling Index)		"PSP_thresh = 0.1;  SCI_thresh = 0.65; QUALITY_thresh = 0.60"		"Subjects = 5 due to pruning; and 1 subject (first subject) because it had dibfferent stimulus timing than the others;  number of channels depends on (remaining) subject, on average +/- standard deviation: 1.64 +/- 1.21 channels (range: 0-3 channels)"	28	6	TDDR	checked		there are actually no parameters to tune for TDDR			5	LowPass,HighPass	"f_hp = 0.005; f_lp = 0.3;"	"filter_type = butter; filter_order = 2"		Hemoglobin	Other	PPF = [0.1 0.1]	GLM		AR-IRLS (Autoregressive model based pre-whitening filter and robust regression)			FIR				Matlab	Wilcoxon signed-rank test	HbO and HbR	Channel,ROI			We used AtlasViewer to project the channel locations to the cortex and to label (i.e., AAL labels as provided by AtlasViewer) the positions accordingly	beta values provided by GLM				0.05	FDR	"We visually inspected the data with respect to normality, i.e., by plotting the histograms; as expected, nothin was even close to a normal distribution

It was a big problem to load the snirf data with the nirs toolbox. We had to write a workaround for that.

We tried several versions of AtlasViewer and had a lot of problems to make it work properly. In short, AtlasViewer was not able to calculate the channel positions based on the optode information but it was no problem to project the optode locations to the cortex. At the end we calculated the channel positions the same way AtlasViewer would do and generated a new digpts.txt file where we put the channel position info as optode positions and projected then these positions to the cortex. We are quite certain that the output of this workaround corresponds to the output that would be generated by the 'normal way', however, it was really annoying that AtlasViewer is so unhandy and does not work properly. "				"Fix load snirf function: Franziska Klein 
Preprocessing (scripting): Franziska Klein 
ROI definition (scripting of AtlasViewer workaround etc.): Franziska Klein 
ROI definition (defining ROIs based on labels.): Franziska Klein & Katharina Stute
GLM analysis (scripting): Franziska Klein & Katharina Stute
Statistical Analysis: Franziska Klein 
Results Discussion: Franziska Klein & Katharina Stute
Results Reporting: Franziska Klein & Katharina Stute"	4	4				"cleaning GLM: remove stimulus info and add only nuisance regressors (i.e., short-distance channels); extract residuals (i.e., cleaned data) and add back stimulus info and continue "						checked
Study 2	29	Reviewer 2	2	AnalyzIR,Custom: Matlab,QT NIRS,AtlasViewer	SCI (Scalp-Coupling Index),PSP (Cardiac Power Spectrum Peak)		"PSP_thresh = 0.1;  SCI_thresh = 0.65; QUALITY_thresh = 0.60"		"In the above field it is only possible to enter a single value. Discarded: Subjects = 1; number of channels depends on subject, on average +/- standard deviation: 3.33 +/- 1.73 channels (range: 0-6 channels)"	33	1	TDDR	checked		there are actually no parameters to tune for TDDR			5	LowPass,HighPass	"f_hp = 0.03; f_lp = 0.09;"	"filter_type = butter; filter_order = 2"		Hemoglobin	Other	PPF = [0.1 0.1]	GLM		AR-IRLS (Autoregressive model based pre-whitening filter and robust regression)			FIR				Matlab	Wilcoxon signed-rank test	HbO and HbR	Channel,ROI			We used AtlasViewer to project the channel locations to the cortex and to label (i.e., AAL labels as provided by AtlasViewer) the positions accordingly	beta values provided by GLM				0.05	FDR	"We visually inspected the data with respect to normality, i.e., by plotting the histograms; as expected, nothin was even close to a normal distribution

It was a big problem to load the snirf data with the nirs toolbox. We had to write a workaround for that.

We tried several versions of AtlasViewer and had a lot of problems to make it work properly. In short, AtlasViewer was not able to calculate the channel positions based on the optode information but it was no problem to project the optode locations to the cortex. At the end we calculated the channel positions the same way AtlasViewer would do and generated a new digpts.txt file where we put the channel position info as optode positions and projected then these positions to the cortex. We are quite certain that the output of this workaround corresponds to the output that would be generated by the 'normal way', however, it was really annoying that AtlasViewer is so unhandy and does not work properly. "				"Fix load snirf function: Franziska Klein 
Preprocessing (scripting): Franziska Klein 
ROI definition (scripting of AtlasViewer workaround etc.): Franziska Klein 
ROI definition (defining ROIs based on labels.): Franziska Klein & Katharina Stute
GLM analysis (scripting): Franziska Klein & Katharina Stute
Statistical Analysis: Franziska Klein 
Results Discussion: Franziska Klein & Katharina Stute
Results Reporting: Franziska Klein & Katharina Stute
"	4	4				"cleaning GLM: remove stimulus info and add only nuisance regressors (i.e., short-distance channels); extract residuals (i.e., cleaned data) and add back stimulus info and continue "						checked
Study 1	30	robusta	1	MNE	SCI (Scalp-Coupling Index)		SCI_thresh = 0.5		Channels = 206 across subject (no complete subject discarded) (field above not working)	206	0	TDDR	checked						LowPass,HighPass	N/A		checked	Hemoglobin	No	DPF = [6 6]	GLM		Default	5		Glover		Cosine drift,PCA of the Short Channels		Python	Permutation Test	HbO only	ROI			"LIFG ROI: channels with sources 1-4, LHG ROI: channels with sources 5-6, RGH ROI: channels with sources 11-12, OCC ROI: channels with sources 7-10; channels were chose based on prior publication of the data"	beta values provided by GLM	N/A			0.05	N/A					"Roman Kessler; whole analysis and reporting"	2	3										
Study 2	30	robusta	2	MNE	SCI (Scalp-Coupling Index)		SCI_thresh = 0.5		Channels = 126 across subject (no complete subject discarded) (field above not working)	126	0	TDDR	checked						LowPass,HighPass	N/A		checked	Hemoglobin	No	DPF = [6 6]	GLM		Default	9		Glover		Cosine drift,PCA of the Short Channels		Python	Multiple Comparisons Correction,Other	HbO only	ROI			"LM1: S3_D2, S3_D8, S3_D9, S5_D13, S5_D13; RM1: S10_D16, S10_D24, S10_D25, S12_D29, S12_D32; left side channels were picked according to prior publication of the data, and right side channel were manually chosen as analogue to the left side channels"	beta values provided by GLM	N/A			0.05	Benjamini-Hochberg					"Roman Kessler; whole analysis and reporting"	2	2								Fisher combined p value (cross channels of a ROI) with multiple comparison correction using Benjamini Hochberg		
Study 1	31	Shader Lab	1	MNE	SCI (Scalp-Coupling Index)		SCI_thresh = 0.7					N/A						0,3	N/A					No	PPF = [1.0 1.0]	GLM		Default			SPM	Duration = 5 sec	Cosine drift,Short Channels		RStudio	Linear Mixed Effects	HbO only	ROI			fOLD toolbox	beta values provided by GLM	N/A			0.05	N/A					Maureen Shader	4	4										
Study 2	31	Shader Lab	NA																																																													
Study 1	32	TAU Center for Cognitive Development	1	Satori	Manual Selection,Other			checked	We used default parameters except: Temporal Filtering we marked the Linear detrending. In addition, we changed Low pass from 0.5 to 2.0. Also we marked the Z-transform (Normalization)			Rejection,Monotonic Interpolation,TDDR	checked						LowPass,HighPass	"f_hp = 0.01; f_lp = 2.0"	filter_order = 2		OD	No	PPF = [1.0 1.0]	GLM		Default	20		Gamma	Time to response 6, Onset 0, Time to peak 6	Short Channels			Paired t-Test,One-tailed t-test,Two-tailed t-test	HbO only	Channel			we projected the channel location on the template of the cortex using NirStie, and showing respected channels.	beta values provided by GLM,Other	N/A			0.05	FDR					Dr. Sagi Jaffe-Dax, Hadas Shavit, Nofar Kochavi, Nadeen Kherbawy.	3	4		We used WorkFlow preprocessing in Satori							We checked the t-value form the beta value	
Study 2	32	TAU Center for Cognitive Development	2	Satori	Manual Selection,Other			checked	We used default parameters except: Temporal Filtering we marked the Linear detrending. In addition, we changed Low pass from 0.5 to 1.0. In the short-channel regression box we marked closest SSR. Also we marked the Z-transform (Normalization)			Monotonic Interpolation,Rejection	checked						LowPass,HighPass	"f_hp = 0.01; f_lp = 1.0"	filter_order = 2		OD	No	PPF = [1.0 1.0]	GLM		Default	20		Gamma	Time to response 6, Onset 0, Time to peak 6	Short Channels			One-tailed t-test,Two-tailed t-test	HbO only	Channel			we projected the channel location on the template of the cortex using NirStie, and showing respected channels.	beta values provided by GLM,Other	N/A			0.05	FDR					Dr. Sagi Jaffe-Dax, Hadas Shavit, Nofar Kochavi, Nadeen Kherbawy.	3	4		We used WorkFlow preprocessing in Satori							We checked the t-value form the beta value	
